time_ind,v_ao,v_art,v_ven,v_la,v_lv,p_lv,q_av,p_ao,p_art,q_ao,p_ven,q_art,p_la,q_ven,q_mv,T
279,109.44159267229385,936.1823827440352,2874.751305485282,20.94252737108036,16.766874966746226,1.8817422985659908,0.0,21.987371129949704,13.950369570930054,0.02479480737030623,0.5286826058952179,0.013828845670444546,0.21545056251410494,0.054385197130450064,0.0,8848.240682116058
280,109.43023302026418,936.1873950556853,2874.7327350904375,20.96744510630507,16.766874966746226,1.8234170124299947,0.0,21.960917024826543,13.952302102582722,0.024707232273352607,0.5285512657844945,0.0138309721515772,0.2163921019527306,0.05419891744731566,0.0,8848.699639566243
281,109.41891348407424,936.1923662794238,2874.7142511079337,20.99227740125997,16.766874966746226,1.7673786650994348,0.0,21.934556340579014,13.95421879250509,0.024619994260477795,0.5284205368296779,0.01383308168071084,0.21733288641325363,0.05401287496043553,0.0,8849.158597016427
282,109.40763390931565,936.1972965774246,2874.6958534196956,21.01702436625599,16.766874966746226,1.7135375626610723,0.0,21.90828871762459,13.956119703224285,0.02453309202943896,0.5282904181956686,0.013835174323129844,0.21827287874128096,0.053827075975779896,0.0,8849.617554466613
283,109.39639414217683,936.2021861112341,2874.6775419048154,21.04168611446522,16.766874966746226,1.6618075591893093,0.0,21.882113797770216,13.958004897025871,0.024446524283025177,0.5281609090273417,0.013837250143890326,0.21921204281092274,0.05364152661726728,0.0,8850.076511916797
284,109.38519402944026,936.2070350417761,2874.6593164396386,21.066262761836544,16.766874966746226,1.6121059078298676,0.0,21.85603122420622,13.959874435954866,0.02436028972903544,0.5280320084501452,0.01383930920782058,0.220150343493823,0.05345623283224539,0.0,8850.535469366983
285,109.37403341848042,936.2118435293517,2874.6411768978423,21.090754427017437,16.766874966746226,1.564353135292392,0.0,21.830040641501785,13.961728381816569,0.024274387080262215,0.5279037155706499,0.01384135157952135,0.22108774663059313,0.05327120039654654,0.0,8850.994426817168
286,109.36291215726135,936.2166117336428,2874.623123150525,21.11516123126168,16.766874966746226,1.518472866005804,0.0,21.80414169559894,13.963566796177563,0.024188815054469726,0.5277760294772041,0.01384337732336621,0.2220242189975933,0.053086434920368984,0.0,8851.453384267352
287,109.35183009433443,936.2213398137152,2874.6051550663074,21.139483298334476,16.766874966746226,1.4743916385987001,0.0,21.778334033807422,13.965389740366605,0.024103572374375434,0.5276489492406021,0.013845386503501768,0.22295972827331395,0.05290194185422981,0.0,8851.912341717538
288,109.34078707883623,936.2260279280192,2874.587272511354,21.163720754481663,16.766874966746226,1.4320389177220418,0.0,21.75261730479991,13.967197275475513,0.024018657767632554,0.5275224739143011,0.013847379183848374,0.2238942430250018,0.052717726491324966,0.0,8852.371299167722
289,109.32978296048601,936.2306762343941,2874.5694753494718,21.187873728339493,16.766874966746226,1.3913469166612178,0.0,21.72699115860591,13.968989462360126,0.023934069966808233,0.5273966025350595,0.013849355428100446,0.22482773267657108,0.05253379397321134,0.0,8852.830256617908
290,109.3188175895837,936.2352848900684,2874.5517634421776,21.211942350861253,16.766874966746226,1.3522504736387533,0.0,21.70145524660734,13.970766361641166,0.023849807709367277,0.5272713341234544,0.013851315299726824,0.2257601674823612,0.05235014929445298,0.0,8853.289214068092
291,109.30789081700759,936.2398540516643,2874.5341366487714,21.235926755248027,16.766874966746226,1.3146869346469225,0.0,21.676009221532656,13.972528033705183,0.023765869737651123,0.5271466676843715,0.013853258861971238,0.22669151850191988,0.052166797307084484,0.0,8853.748171518277
292,109.29700249421184,936.2443838751979,2874.516594826347,21.259827076934663,16.766874966746226,1.278596253721936,0.0,21.65065273745186,13.97427453870544,0.023682254798859673,0.527022602207103,0.013855186177853123,0.22762175758983688,0.05198374272239315,0.0,8854.207128968463
293,109.28615247322483,936.2488745160829,2874.4991378298923,21.28364345349092,16.766874966746226,1.243920755517689,0.0,21.625385449771752,13.976005936562778,0.023598961645034017,0.5268991366660449,0.013857097310167786,0.22855085736332023,0.05180099011666961,0.0,8854.666086418647
294,109.27534060664628,936.2533261291328,2874.4817655123743,21.307376024537863,16.766874966746226,1.2106049505059193,0.0,21.600207015229927,13.977722286966582,0.02351598903303492,0.5267762700212897,0.013858992321486798,0.229478791173797,0.05161854393624155,0.0,8855.125043868833
295,109.26456674764559,936.2577388685629,2874.46447772478,21.331024931703013,16.766874966746226,1.1785955050076773,0.0,21.5751170918905,13.979423649375597,0.023433335724527108,0.526654001218942,0.013860871274158503,0.2304055330893005,0.05143640850058666,0.0,8855.584001319017
296,109.25383074995926,936.2621128879924,2874.4472743161787,21.35459031856086,16.766874966746226,1.1478411445887517,0.0,21.550115339138287,13.98111008301887,0.023351000485958406,0.5265323291915377,0.01386273423030856,0.23133105787285746,0.05125458800615783,0.0,8856.042958769202
297,109.24313246788883,936.2664483404475,2874.430155133775,21.378072330581197,16.766874966746226,1.1182925914021273,0.0,21.52520141767397,13.982781646896614,0.023268982088542178,0.5264112528584102,0.013864581251840454,0.23225534096355493,0.051073086529734094,0.0,8856.501916219388
298,109.23247175629884,936.2707453783629,2874.413120022917,21.40147111511336,16.766874966746226,1.0899026510582637,0.0,21.500374989509318,13.984438399781068,0.023187279308239914,0.526290771125799,0.013866412400436276,0.233178358468163,0.050891908029893976,0.0,8856.960873669572
299,109.22184847061438,936.275004153584,2874.3961688272107,21.42478682128207,16.766874966746226,1.062625914312535,0.0,21.475635717961495,13.986080400217428,0.0231058909257408,0.5261708828875887,0.013868227737556908,0.2341000871270408,0.05071105635306341,0.0,8857.419831119758
300,109.2112624668192,936.27922481737,2874.379301388556,21.448019599946054,16.766874966746226,1.0364187297443375,0.0,21.45098326764871,13.987707706524654,0.023024815726445803,0.5260515870255978,0.013870027324442572,0.2350205042987695,0.05053053523623392,0.0,8857.878788569942
301,109.20071360145336,936.2834075203954,2874.3625175471907,21.471169603652427,16.766874966746226,1.011239148752908,0.0,21.426417304484545,13.989320376796396,0.022944052500447332,0.5259328824099023,0.013871811222113442,0.23593958794333422,0.050350348309939,0.0,8858.337746020126
302,109.19020173161108,936.287552412753,2874.3458171417406,21.4942369865869,16.766874966746226,0.9870468539795318,0.0,21.401937495673252,13.990918468901851,0.022863600042512065,0.5258147678991876,0.013873579491370162,0.23685731660450982,0.050170499101373375,0.0,8858.796703470312
303,109.17972671493882,936.2916596439551,2874.329200009263,21.517221904535504,16.766874966746226,0.9638031261630552,0.0,21.37754350970506,13.992502040486588,0.02278345715206394,0.5256972423410166,0.013875332192794432,0.2377736693953289,0.049990991036962744,0.0,8859.255660920497
304,109.1692884096328,936.2957293629364,2874.312665985277,21.540124514845758,16.766874966746226,0.9414708035910914,0.0,21.35323501635048,13.994071148973468,0.022703622633163747,0.5255803045721057,0.013877069386749655,0.23868862598340365,0.04981182744496018,0.0,8859.714618370683
